bin_lower,bin_upper,n,accuracy,confidence,gap,method
0.0,0.1,1470,0.0034,0.0451,0.0417,Uncalibrated
0.1,0.2,754,0.004,0.1469,0.1429,Uncalibrated
0.2,0.3,484,0.0227,0.2473,0.2246,Uncalibrated
0.3,0.4,386,0.0285,0.3511,0.3226,Uncalibrated
0.4,0.5,397,0.0277,0.4491,0.4214,Uncalibrated
0.5,0.6,370,0.0378,0.5507,0.5129,Uncalibrated
0.6,0.7,330,0.0394,0.651,0.6116,Uncalibrated
0.7,0.8,327,0.0673,0.7511,0.6838,Uncalibrated
0.8,0.9,410,0.0878,0.8497,0.7619,Uncalibrated
0.9,1.0,951,0.4553,0.9673,0.512,Uncalibrated
0.0,0.1,9,0.0,0.0862,0.0862,Temperature
0.1,0.2,400,0.005,0.1685,0.1635,Temperature
0.2,0.3,1016,0.003,0.2516,0.2487,Temperature
0.3,0.4,1075,0.0065,0.3494,0.3429,Temperature
0.4,0.5,991,0.0293,0.451,0.4218,Temperature
0.5,0.6,843,0.0403,0.5465,0.5062,Temperature
0.6,0.7,621,0.0853,0.6469,0.5616,Temperature
0.7,0.8,434,0.2442,0.7484,0.5042,Temperature
0.8,0.9,370,0.5973,0.8469,0.2496,Temperature
0.9,1.0,120,0.8667,0.9233,0.0566,Temperature
0.0,0.1,4643,0.0209,0.0205,0.0004,Platt
0.1,0.2,429,0.1259,0.139,0.0131,Platt
0.2,0.3,217,0.2166,0.2474,0.0308,Platt
0.3,0.4,127,0.4016,0.351,0.0506,Platt
0.4,0.5,116,0.4828,0.4449,0.0379,Platt
0.5,0.6,95,0.6,0.5511,0.0489,Platt
0.6,0.7,75,0.64,0.6504,0.0104,Platt
0.7,0.8,75,0.7867,0.752,0.0347,Platt
0.8,0.9,70,0.8714,0.8527,0.0187,Platt
0.9,1.0,32,0.9062,0.927,0.0208,Platt
0.0,0.1,5134,0.0312,0.0275,0.0036,Isotonic
0.1,0.2,84,0.2143,0.1171,0.0972,Isotonic
0.2,0.3,98,0.3265,0.2332,0.0933,Isotonic
0.3,0.4,1,1.0,0.3336,0.6664,Isotonic
0.4,0.5,203,0.4335,0.4742,0.0407,Isotonic
0.5,0.6,55,0.5091,0.5877,0.0786,Isotonic
0.6,0.7,84,0.7024,0.6348,0.0676,Isotonic
0.7,0.8,7,0.5714,0.7524,0.1809,Isotonic
0.8,0.9,180,0.7722,0.8294,0.0572,Isotonic
0.9,1.0,5,1.0,0.9609,0.0391,Isotonic
