alpha,singleton,tb_cov
0.01,0.638,0.9839
0.02,0.7848,0.941
0.03,0.999,0.941
0.04,0.999,0.941
0.05,0.999,0.941
0.06,0.999,0.941
0.07,0.999,0.941
0.08,0.999,0.941
0.09,0.999,0.941
0.1,0.8532,0.941
0.11,0.8532,0.941
0.12,0.8532,0.941
0.13,0.8532,0.941
0.14,0.579,0.8569
0.15,0.5526,0.8354
0.16,0.5202,0.8354
0.17,0.4953,0.8122
0.18,0.4953,0.8122
0.19,0.4953,0.8122
0.2,0.4753,0.8122
0.21,0.4753,0.8122
0.22,0.4753,0.8122
0.23,0.4753,0.8122
0.24,0.4753,0.8122
0.25,0.4753,0.8122
0.26,0.4753,0.8122
0.27,0.4753,0.8122
0.28,0.4753,0.8122
0.29,0.4753,0.8122
0.3,0.4753,0.8122
0.31,0.4016,0.712
0.32,0.4016,0.712
0.33,0.4016,0.712
0.34,0.4016,0.712
0.35,0.3883,0.6816
0.36,0.3883,0.6816
0.37,0.3883,0.6816
0.38,0.3793,0.6547
0.39,0.3715,0.6225
0.4,0.3715,0.6225
0.41,0.3715,0.6225
0.42,0.3715,0.6225
0.43,0.3715,0.6225
0.44,0.3715,0.6225
0.45,0.3715,0.6225
0.46,0.3715,0.6225
0.47,0.3715,0.6225
0.48,0.3715,0.6225
0.49,0.3715,0.6225
0.5,0.3715,0.6225
