threshold,net_benefit_model,net_benefit_all,net_benefit_none
0.01,0.085767,0.085944,0
0.02,0.077332,0.076617,0
0.03,0.069445,0.067097,0
0.04,0.062043,0.057379,0
0.05,0.054664,0.047457,0
0.06,0.04779,0.037324,0
0.07,0.041237,0.026972,0
0.08,0.034574,0.016396,0
0.09,0.028072,0.005587,0
0.1,0.021376,-0.005462,0
0.11,0.015037,-0.016759,0
0.12,0.008822,-0.028313,0
0.13,0.002792,-0.040133,0
0.14,-0.003101,-0.052228,0
0.15,-0.009015,-0.064607,0
0.16,-0.01522,-0.077281,0
0.17,-0.02149,-0.09026,0
0.18,-0.027701,-0.103556,0
0.19,-0.033356,-0.11718,0
0.2,-0.038272,-0.131145,0
0.21,-0.044128,-0.145463,0
0.22,-0.050209,-0.160148,0
0.23,-0.055858,-0.175215,0
0.24,-0.062354,-0.190679,0
0.25,-0.068492,-0.206554,0
0.26,-0.074654,-0.222859,0
0.27,-0.080451,-0.239611,0
0.28,-0.087326,-0.256828,0
0.29,-0.093587,-0.274529,0
0.3,-0.099944,-0.292737,0
0.31,-0.106399,-0.311472,0
0.32,-0.113485,-0.330759,0
0.33,-0.12087,-0.350621,0
0.34,-0.126841,-0.371085,0
0.35,-0.132937,-0.392178,0
0.36,-0.139299,-0.413931,0
0.37,-0.145827,-0.436374,0
0.38,-0.152731,-0.459542,0
0.39,-0.159927,-0.483469,0
0.4,-0.165845,-0.508193,0
0.41,-0.173176,-0.533756,0
0.42,-0.178432,-0.5602,0
0.43,-0.18543,-0.587572,0
0.44,-0.191566,-0.615921,0
0.45,-0.197869,-0.645301,0
0.46,-0.203323,-0.67577,0
0.47,-0.210647,-0.707388,0
0.48,-0.215526,-0.740223,0
0.49,-0.223537,-0.774345,0
0.5,-0.229971,-0.809832,0
