embedding,split,n,simple_avg_auroc,weighted_avg_auroc,simple_avg_auprc,weighted_avg_auprc,linear_auroc,knn_auroc,xgboost_auroc,mlp_auroc,weights
rad_dino,calibration,800,0.9999,0.9999,0.9999,0.9999,0.9996,0.966,1.0,0.9972,"{'linear': np.float64(0.253), 'knn': np.float64(0.247), 'xgboost': np.float64(0.249), 'mlp': np.float64(0.251)}"
rad_dino,dev,2520,0.9005,0.9007,0.6334,0.634,0.9107,0.8804,0.8824,0.9153,"{'linear': np.float64(0.253), 'knn': np.float64(0.247), 'xgboost': np.float64(0.249), 'mlp': np.float64(0.251)}"
rad_dino,test,5879,0.912,0.9121,0.6208,0.6211,0.9138,0.885,0.898,0.9277,"{'linear': np.float64(0.253), 'knn': np.float64(0.247), 'xgboost': np.float64(0.249), 'mlp': np.float64(0.251)}"
rad_dino,ext_pakistan,3008,0.8963,0.8961,0.9783,0.9783,0.8674,0.9242,0.846,0.8573,"{'linear': np.float64(0.253), 'knn': np.float64(0.247), 'xgboost': np.float64(0.249), 'mlp': np.float64(0.251)}"
biomedclip,calibration,800,0.9916,0.9915,0.9914,0.9913,0.9523,0.9462,1.0,0.9428,"{'linear': np.float64(0.253), 'knn': np.float64(0.248), 'xgboost': np.float64(0.248), 'mlp': np.float64(0.251)}"
biomedclip,dev,2520,0.7993,0.7992,0.3462,0.3459,0.7716,0.7973,0.783,0.7823,"{'linear': np.float64(0.253), 'knn': np.float64(0.248), 'xgboost': np.float64(0.248), 'mlp': np.float64(0.251)}"
biomedclip,test,5879,0.7887,0.7886,0.3354,0.3352,0.7514,0.7963,0.7764,0.7725,"{'linear': np.float64(0.253), 'knn': np.float64(0.248), 'xgboost': np.float64(0.248), 'mlp': np.float64(0.251)}"
biomedclip,ext_pakistan,3008,0.9143,0.9146,0.9825,0.9826,0.9362,0.8125,0.9247,0.9184,"{'linear': np.float64(0.253), 'knn': np.float64(0.248), 'xgboost': np.float64(0.248), 'mlp': np.float64(0.251)}"
torchxrayvision,calibration,800,0.9955,0.9956,0.9954,0.9955,0.9871,0.9397,1.0,0.9272,"{'linear': np.float64(0.256), 'knn': np.float64(0.246), 'xgboost': np.float64(0.25), 'mlp': np.float64(0.248)}"
torchxrayvision,dev,2520,0.8318,0.8317,0.4153,0.4153,0.7867,0.8087,0.8005,0.8352,"{'linear': np.float64(0.256), 'knn': np.float64(0.246), 'xgboost': np.float64(0.25), 'mlp': np.float64(0.248)}"
torchxrayvision,test,5879,0.8381,0.8381,0.4355,0.4355,0.8027,0.8033,0.8105,0.8362,"{'linear': np.float64(0.256), 'knn': np.float64(0.246), 'xgboost': np.float64(0.25), 'mlp': np.float64(0.248)}"
torchxrayvision,ext_pakistan,3008,0.5956,0.5963,0.8938,0.894,0.6575,0.4975,0.6025,0.531,"{'linear': np.float64(0.256), 'knn': np.float64(0.246), 'xgboost': np.float64(0.25), 'mlp': np.float64(0.248)}"
dinov2,calibration,800,0.9933,0.9935,0.993,0.9933,0.9693,0.9038,1.0,0.884,"{'linear': np.float64(0.256), 'knn': np.float64(0.243), 'xgboost': np.float64(0.252), 'mlp': np.float64(0.249)}"
dinov2,dev,2520,0.7523,0.7531,0.2681,0.2693,0.7431,0.592,0.7685,0.7759,"{'linear': np.float64(0.256), 'knn': np.float64(0.243), 'xgboost': np.float64(0.252), 'mlp': np.float64(0.249)}"
dinov2,test,5879,0.7412,0.742,0.269,0.2698,0.7473,0.5959,0.7481,0.7584,"{'linear': np.float64(0.256), 'knn': np.float64(0.243), 'xgboost': np.float64(0.252), 'mlp': np.float64(0.249)}"
dinov2,ext_pakistan,3008,0.8171,0.8173,0.9595,0.9596,0.8272,0.7091,0.7886,0.7464,"{'linear': np.float64(0.256), 'knn': np.float64(0.243), 'xgboost': np.float64(0.252), 'mlp': np.float64(0.249)}"
