scenario,prevalence,ai_referrals,tb_detected,tb_missed,false_referrals,xpert_cartridges,cartridges_per_case,cartridges_saved
A: No AI (universal Xpert),0.001,10000,9,1,9990,10000,1111.1,0
B: Symptom screen,0.001,3003,5,5,2997,3003,600.6,6997
C: AI triage (conformal),0.001,4164,8,2,4155,4164,520.5,5836
D: AI at WHO TPP minimum,0.001,3006,8,2,2997,3006,375.8,6994
A: No AI (universal Xpert),0.005,10000,49,1,9950,10000,204.1,0
B: Symptom screen,0.005,3015,29,21,2985,3015,104.0,6985
C: AI triage (conformal),0.005,4186,46,4,4139,4186,91.0,5814
D: AI at WHO TPP minimum,0.005,3030,44,6,2985,3030,68.9,6970
A: No AI (universal Xpert),0.01,10000,98,2,9900,10000,102.0,0
B: Symptom screen,0.01,3030,59,41,2970,3030,51.4,6970
C: AI triage (conformal),0.01,4212,92,8,4118,4212,45.8,5788
D: AI at WHO TPP minimum,0.01,3060,88,12,2970,3060,34.8,6940
A: No AI (universal Xpert),0.05,10000,493,7,9500,10000,20.3,0
B: Symptom screen,0.05,3150,296,204,2850,3150,10.6,6850
C: AI triage (conformal),0.05,4422,463,37,3952,4422,9.6,5578
D: AI at WHO TPP minimum,0.05,3300,444,56,2850,3300,7.4,6700
A: No AI (universal Xpert),0.1,10000,987,13,9000,10000,10.1,0
B: Symptom screen,0.1,3300,592,408,2700,3300,5.6,6700
C: AI triage (conformal),0.1,4685,928,72,3744,4685,5.0,5315
D: AI at WHO TPP minimum,0.1,3600,888,112,2700,3600,4.1,6400
A: No AI (universal Xpert),0.2,10000,1974,26,8000,10000,5.1,0
B: Symptom screen,0.2,3600,1184,816,2400,3600,3.0,6400
C: AI triage (conformal),0.2,5210,1857,143,3328,5210,2.8,4790
D: AI at WHO TPP minimum,0.2,4200,1776,224,2400,4200,2.4,5800
