embedding,probe,method,alpha,tier1_clear_n,tier1_clear_frac,tier1_clear_tb_frac,tier2_refer_n,tier2_refer_frac,tier2_refer_tb_frac,tier3_uncertain_n,tier3_uncertain_frac,tier3_uncertain_tb_frac
rad_dino,linear,APS,0.1,2377,0.4043,0.005,1456,0.2477,0.3262,2046,0.348,0.0352
rad_dino,linear,Mondrian,0.1,2257,0.3839,0.0035,1575,0.2679,0.3073,2047,0.3482,0.0327
rad_dino,knn,APS,0.1,3298,0.561,0.0127,2446,0.4161,0.2093,135,0.023,0.037
rad_dino,knn,Mondrian,0.1,2701,0.4594,0.0096,2863,0.487,0.1841,315,0.0536,0.019
rad_dino,xgboost,APS,0.1,1105,0.188,0.0036,800,0.1361,0.4738,3974,0.676,0.0443
rad_dino,xgboost,Mondrian,0.1,1013,0.1723,0.003,836,0.1422,0.4593,4030,0.6855,0.0427
rad_dino,mlp,APS,0.1,2140,0.364,0.0056,1210,0.2058,0.3893,2529,0.4302,0.0301
rad_dino,mlp,Mondrian,0.1,1937,0.3295,0.0052,1594,0.2711,0.3093,2348,0.3994,0.0239
biomedclip,linear,APS,0.1,3668,0.6239,0.0425,2141,0.3642,0.185,70,0.0119,0.1
biomedclip,linear,Mondrian,0.1,3099,0.5271,0.0355,2398,0.4079,0.1751,382,0.065,0.0759
biomedclip,knn,APS,0.1,1891,0.3217,0.0222,1927,0.3278,0.2206,2061,0.3506,0.0446
biomedclip,knn,Mondrian,0.1,1143,0.1944,0.0192,3235,0.5503,0.1505,1501,0.2553,0.0333
biomedclip,xgboost,APS,0.1,780,0.1327,0.0244,1367,0.2325,0.2436,3732,0.6348,0.0555
biomedclip,xgboost,Mondrian,0.1,696,0.1184,0.0273,1433,0.2437,0.2373,3750,0.6379,0.0533
biomedclip,mlp,APS,0.1,2802,0.4766,0.0268,2654,0.4514,0.1737,423,0.072,0.0544
biomedclip,mlp,Mondrian,0.1,2057,0.3499,0.0224,3006,0.5113,0.1583,816,0.1388,0.0453
torchxrayvision,linear,APS,0.1,2675,0.455,0.0269,2422,0.412,0.1858,782,0.133,0.0473
torchxrayvision,linear,Mondrian,0.1,2443,0.4155,0.0258,2573,0.4377,0.1796,863,0.1468,0.0394
torchxrayvision,knn,APS,0.1,1789,0.3043,0.0246,1878,0.3194,0.229,2212,0.3763,0.0384
torchxrayvision,knn,Mondrian,0.1,1057,0.1798,0.0218,3226,0.5487,0.1531,1596,0.2715,0.0263
torchxrayvision,xgboost,APS,0.1,1163,0.1978,0.0224,1135,0.1931,0.304,3581,0.6091,0.0525
torchxrayvision,xgboost,Mondrian,0.1,1066,0.1813,0.0197,1191,0.2026,0.2947,3622,0.6161,0.0516
torchxrayvision,mlp,APS,0.1,3194,0.5433,0.0185,1906,0.3242,0.2408,779,0.1325,0.0526
torchxrayvision,mlp,Mondrian,0.1,3102,0.5276,0.0181,1959,0.3332,0.2348,818,0.1391,0.0526
dinov2,linear,APS,0.1,2910,0.495,0.0364,2552,0.4341,0.165,417,0.0709,0.0767
dinov2,linear,Mondrian,0.1,2746,0.4671,0.035,2854,0.4855,0.1556,279,0.0475,0.0681
dinov2,knn,APS,0.1,1129,0.192,0.0664,2544,0.4327,0.123,2206,0.3752,0.0775
dinov2,knn,Mondrian,0.1,623,0.106,0.0546,2544,0.4327,0.123,2712,0.4613,0.0782
dinov2,xgboost,APS,0.1,504,0.0857,0.0218,737,0.1254,0.2917,4638,0.7889,0.0718
dinov2,xgboost,Mondrian,0.1,450,0.0765,0.0222,786,0.1337,0.2812,4643,0.7898,0.0706
dinov2,mlp,APS,0.1,1403,0.2386,0.0306,1588,0.2701,0.2236,2888,0.4912,0.0557
dinov2,mlp,Mondrian,0.1,634,0.1078,0.03,2886,0.4909,0.1566,2359,0.4013,0.0373
